species_key	species_status	species_reason	assemblies	callable_assemblies	intact_assemblies	high_intact_assemblies	supported_disrupted_assemblies	status_counts	accessions
Odocoileus hemionus	DISRUPTED_LIKELY	At least one callable assembly supports disruption and no intact model was found, but replication is limited.	5	4	0	0	3	"{""DISRUPTED_POSSIBLE"": 1, ""DISRUPTED_STRONG"": 3, ""UNRESOLVED"": 1}"	GCA_003697985.1;GCA_004115125.1;GCA_020976825.1;GCA_042767535.1;GCA_042768445.1
Odocoileus virginianus	DISRUPTED_HIGH	Multiple callable assemblies support disruption and no credible intact assembly was found.	7	3	0	0	3	"{""DISRUPTED_STRONG"": 3, ""UNRESOLVED"": 2, ""UNRESOLVED_ASSEMBLY_GAP"": 2}"	GCA_000191605.1;GCA_000191625.1;GCA_002102435.1;GCA_014726795.1;GCA_023699985.4;GCF_002102435.1;GCF_023699985.2
Okapia johnstoni	DISRUPTED_LIKELY	At least one callable assembly supports disruption and no intact model was found, but replication is limited.	3	1	0	0	1	"{""DISRUPTED_STRONG"": 1, ""UNRESOLVED_ASSEMBLY_GAP"": 2}"	GCA_001660835.1;GCA_021018685.1;GCA_024291935.2
Oreamnos americanus	UNRESOLVED	Available assemblies do not decisively support intactness or loss.	1	0	0	0	0	"{""UNRESOLVED_ASSEMBLY_GAP"": 1}"	GCA_009758055.1
Oreotragus oreotragus	UNRESOLVED	Available assemblies do not decisively support intactness or loss.	1	0	0	0	0	"{""UNRESOLVED_ASSEMBLY_GAP"": 1}"	GCA_006410675.1
Oryx dammah	DISRUPTED_HIGH	Multiple callable assemblies support disruption and no credible intact assembly was found.	2	2	0	0	2	"{""DISRUPTED_STRONG"": 2}"	GCA_014754425.2;GCF_014754425.2
Oryx gazella	UNRESOLVED	Available assemblies do not decisively support intactness or loss.	2	0	0	0	0	"{""UNRESOLVED_ASSEMBLY_GAP"": 2}"	GCA_003945745.1;GCA_006410575.1
Ourebia ourebi	DISRUPTED_POSSIBLE	Some disruption evidence exists but is not strong enough for a species-level loss call.	1	1	0	0	0	"{""DISRUPTED_POSSIBLE"": 1}"	GCA_006417275.1
Ovibos moschatus	DISRUPTED_LIKELY	At least one callable assembly supports disruption and no intact model was found, but replication is limited.	3	1	0	0	1	"{""DISRUPTED_STRONG"": 1, ""UNRESOLVED_ASSEMBLY_GAP"": 2}"	GCA_021462335.1;GCA_022533635.2;GCA_041156055.1
Ovis ammon	DISRUPTED_HIGH	Multiple callable assemblies support disruption and no credible intact assembly was found.	4	2	0	0	2	"{""DISRUPTED_STRONG"": 2, ""UNRESOLVED_ASSEMBLY_GAP"": 2}"	GCA_003121645.1;GCA_006410595.1;GCA_028583565.1;GCA_045269445.1
Ovis ammon polii x Ovis aries	DISRUPTED_HIGH	Multiple callable assemblies support disruption and no credible intact assembly was found.	2	2	0	0	2	"{""DISRUPTED_STRONG"": 2}"	GCA_023701655.1;GCA_023701675.1
