species	tree_id	in_tree	species_status	assembly_status	callable_fraction	reconstructed_fraction	n_fraction	internal_stop_count_naive	frame_remainder	supported_events	quality_score	strict_species_intact	conflicting_fallback_eligible	selected	selection_tier	rejection_reason
Nilgiritragus hylocrius	Nilgiritragus_hylocrius	True	DISRUPTED_LIKELY	DISRUPTED_STRONG	0.9583781844277001	0.9583781844277001	0.018328445747800588	31	1	13	171.24684480798933	False	False	False		loss_status_excluded
Odocoileus hemionus	Odocoileus_hemionus	True	DISRUPTED_LIKELY	DISRUPTED_STRONG	0.9684248295658414	0.9684248295658414	0.001838235294117647	41	2	10	172.82410060364296	False	False	False		loss_status_excluded
Odocoileus virginianus	Odocoileus_virginianus	True	DISRUPTED_HIGH	DISRUPTED_STRONG	0.9684248295658414	0.9684248295658414	0.001838235294117647	41	2	11	175.82410060364296	False	False	False		loss_status_excluded
Okapia johnstoni	Okapia_johnstoni	True	DISRUPTED_LIKELY	DISRUPTED_STRONG	0.9874416935773233	0.9874416935773233	0.0018129079042784628	40	1	10	177.72604027868957	False	False	False		loss_status_excluded
Oreamnos americanus	Oreamnos_americanus	True	UNRESOLVED	UNRESOLVED_ASSEMBLY_GAP	0.964119124506638	0.964119124506638	0.011363636363636364	38	1	13	132.16829457346907	False	False	False		not_intact_background_status
Oreotragus oreotragus	Oreotragus_oreotragus	True	UNRESOLVED	UNRESOLVED_ASSEMBLY_GAP	0.7997847147470398	0.7997847147470398	0.18338213762811129	25	2	13	107.50269821611678	False	False	False		not_intact_background_status
Oryctolagus cuniculus	Oryctolagus_cuniculus	True	EXTERNAL_INTACT	EXTERNAL_REFSEQ_INTACT	0.9978471474703983	0.9978471474703983	0.0	0	0	0	379.7201291711518	True	False	True	strict_species_intact	
Oryx dammah	Oryx_dammah	True	DISRUPTED_HIGH	DISRUPTED_STRONG	0.9677072120559742	0.9677072120559742	0.010964912280701754	45	0	15	172.53507304633283	False	False	False		loss_status_excluded
Oryx gazella	Oryx_gazella	True	UNRESOLVED	UNRESOLVED_ASSEMBLY_GAP	0.9669895945461069	0.9669895945461069	0.011342846688620564	26	0	15	132.45953195126688	False	False	False		not_intact_background_status
Ourebia ourebi	Ourebia_ourebi	True	DISRUPTED_POSSIBLE	DISRUPTED_POSSIBLE	0.38751345532831	0.38751345532831	0.6075581395348837	6	1	3	77.08846255018058	False	False	False		loss_status_excluded;callable_below_0.70
Ovibos moschatus	Ovibos_moschatus	True	DISRUPTED_LIKELY	DISRUPTED_STRONG	0.9684248295658414	0.9684248295658414	0.010948905109489052	41	1	15	172.60699486903164	False	False	False		loss_status_excluded
Ovis ammon	Ovis_ammon	True	DISRUPTED_HIGH	DISRUPTED_STRONG	0.9677072120559742	0.9677072120559742	0.010968921389396709	28	2	15	175.53503295524587	False	False	False		loss_status_excluded
Ovis ammon polii x Ovis aries	Ovis_ammon_polii_x_Ovis_aries	False	DISRUPTED_HIGH	DISRUPTED_STRONG	0.9677072120559742	0.9677072120559742	0.010968921389396709	28	2	15	175.53503295524587	False	False	False		not_in_standardized_tree;loss_status_excluded
