orthogroup	Ceratotherium simum	Diceros bicornis	Equus asinus	Equus quagga	Equus caballus	Canis lupus	Bos taurus
LOC101387679_	LOC101387679_	MYBPC1_	MYBPC1_	MYBPC1_	MYBPC1_	MYBPC1_	MYBPC1_
LOC101400822_	LOC101400822_	GNPTAB_	GNPTAB_	GNPTAB_	GNPTAB_	GNPTAB_	GNPTAB_
LOC101401352_	LOC101401352_	DRAM1_	DRAM1_	DRAM1_	DRAM1_	DRAM1_	DRAM1_
LOC101401619_	LOC101401619_	WASHC3_	WASHC3_	WASHC3_	WASHC3_	WASHC3_	WASHC3_
LOC101401871_	LOC101401871_	NUP37_	NUP37_	NUP37_	NUP37_	NUP37_	NUP37_
LOC101402126_	LOC101402126_	PARPBP_	PARPBP_	PARPBP_	PARPBP_	LOC112654403_	PARPBP_
LOC101402387_	LOC101402387_	PMCH_	PMCH_	PMCH_	PMCH_	PMCH_	PMCH_
LOC101402642_	LOC101402642_	IGF1_	IGF1_	IGF1_	IGF1_	IGF1_	IGF1_
LOC101403788_	LOC101403788_	PAH_	PAH_	PAH_	PAH_	PAH_	PAH_
LOC101404054_	LOC101404054_	ASCL1_	ASCL1_	ASCL1_	ASCL1_	ASCL1_	ASCL1_
LOC101404322_	LOC101404322_	STAB2_	STAB2_	STAB2_	STAB2_	STAB2_	STAB2_
LOC101388702_	LOC101388702_	NT5DC3_	NT5DC3_	NT5DC3_	NT5DC3_	NT5DC3_	NT5DC3_
LOC101404589_	LOC101404589_	HSP90B1_	HSP90B1_	HSP90B1_	HSP90B1_	HSP90B1_	HSP90B1_
LOC101405103_	LOC101405103_	TDG_	TDG_	TDG_	TDG_	TDG_	TDG_
LOC101405362_	LOC101405362_	GLT8D2_	GLT8D2_	GLT8D2_	GLT8D2_	GLT8D2_	GLT8D2_
LOC101405631_	LOC101405631_	HCFC2_	HCFC2_	HCFC2_	HCFC2_	HCFC2_	HCFC2_
LOC101406928_	LOC101406928_	EID3_	EID3_	EID3_	EID3_	EID3_	EID3_
LOC101406157_	LOC101406157_	TXNRD1_	TXNRD1_	TXNRD1_	TXNRD1_	TXNRD1_	TXNRD1_
LOC101407194_	LOC101407194_	CHST11_	CHST11_	CHST11_	CHST11_	CHST11_	CHST11_
LOC101407646_	LOC101407646_	SLC41A2_	SLC41A2_	SLC41A2_	SLC41A2_	SLC41A2_	SLC41A2_
LOC101388969_	LOC101388969_	NOPCHAP1_	NOPCHAP1_	NOPCHAP1_	NOPCHAP1_	NOPCHAP1_	NOPCHAP1_
LOC101389237_	LOC101389237_	ALDH1L2_	ALDH1L2_	ALDH1L2_	ALDH1L2_	ALDH1L2_	ALDH1L2_
LOC101407902_	LOC101407902_	WASHC4_	WASHC4_	WASHC4_	WASHC4_	WASHC4_	WASHC4_
LOC101408162_	LOC101408162_	APPL2_	APPL2_	APPL2_	APPL2_	APPL2_	APPL2_
LOC101408762_	LOC101408762_	NUAK1_	NUAK1_	NUAK1_	NUAK1_	NUAK1_	NUAK1_
LOC101389487_	LOC101389487_	CKAP4_	CKAP4_	CKAP4_	CKAP4_	CKAP4_	CKAP4_
LOC101387324_	LOC101387324_	TCP11L2_	TCP11L2_	TCP11L2_	TCP11L2_	TCP11L2_	TCP11L2_
LOC101409017_	LOC101409017_	POLR3B_	POLR3B_	POLR3B_	POLR3B_	POLR3B_	POLR3B_
LOC101387580_	LOC101387580_	RFX4_	RFX4_	RFX4_	RFX4_	RFX4_	RFX4_
LOC101388196_	LOC101388196_	RIC8B_	RIC8B_	RIC8B_	RIC8B_	RIC8B_	RIC8B_
LOC101388614_	LOC101388614_	TMEM263_	TMEM263_	TMEM263_	TMEM263_	TMEM263_	TMEM263_
