alignment_source	taxon_id	aligned_nt	aligned_codons	frameshift_characters	internal_stop_codons	terminal_stop_codons	partial_gap_codons	full_gap_codons	ambiguous_codons	valid_sense_codons	valid_sense_fraction
altcost	Bos_grunniens	3138	1046	21	3	1	0	126	19	882	0.8432122370936902
altcost	Giraffa_tippelskirchi	3138	1046	18	5	1	0	120	3	903	0.8632887189292543
altcost	Giraffa_camelopardalis	3138	1046	18	7	1	0	120	3	901	0.861376673040153
altcost	Bos_indicus	3138	1046	19	4	1	0	130	19	878	0.8393881453154876
altcost	Bos_indicus_x_Bos_taurus	3138	1046	19	4	1	0	130	19	878	0.8393881453154876
altcost	Bos_gaurus_x_Bos_taurus	3138	1046	19	4	1	0	130	19	878	0.8393881453154876
altcost	Bos_grunniens_x_Bos_taurus	3138	1046	20	4	1	0	130	19	877	0.8384321223709369
altcost	Bos_taurus_x_Bison_bison	3138	1046	20	4	1	0	130	19	877	0.8384321223709369
altcost	Bos_gaurus	3138	1046	19	4	1	0	130	19	878	0.8393881453154876
altcost	Bos_javanicus	3138	1046	19	4	1	0	130	19	878	0.8393881453154876
altcost	Ovis_vignei	3138	1046	23	4	0	0	129	14	882	0.8432122370936902
altcost	Ovis_canadensis	3138	1046	23	5	0	0	130	14	880	0.8413001912045889
altcost	Ovis_nivicola	3138	1046	23	5	0	0	130	14	880	0.8413001912045889
altcost	Muntiacus_crinifrons	3138	1046	20	2	1	0	130	3	897	0.8575525812619503
altcost	Muntiacus_feae	3138	1046	19	2	1	0	131	4	895	0.8556405353728489
altcost	Muntiacus_gongshanensis	3138	1046	20	2	1	0	130	4	896	0.8565965583173997
altcost	Bos_frontalis	3138	1046	20	3	1	0	130	19	878	0.8393881453154876
altcost	Muntiacus_reevesi	3138	1046	25	3	1	0	126	4	896	0.8565965583173997
altcost	Canis_lupus_familiaris	3138	1046	12	0	0	0	114	0	924	0.8833652007648184
altcost	Dama_dama	3138	1046	19	3	1	0	129	3	897	0.8575525812619503
